id,product_id,body,date_written,asker_name,asker_email,reported,helpful
34,5,Can I wash it?,1605550000000,luaulover,first.last@cbs.com,0,1
35,5,Where is this product made?,1613150000000,bballfan,first.last@gmail.com,0,0
36,5,What fabric is the top made of?,1588130000000,funnygirl,first.last@gmail.com,0,1
37,5,Why is this product cheaper here than other sites?,1594500000000,willsmith,first.last@gmail.com,0,4
38,5,How long does it last?,1615020000000,funnygirl,first.last@gmail.com,0,2
39,6,Does this product run big or small?,1609190000000,smithsmith,first.last@gmail.com,0,6
40,6,Why is this product cheaper here than other sites?,1595150000000,toofast,first.last@gmail.com,0,7
41,7,What fabric is the top made of?,1599320000000,coolkid,first.last@gmail.com,0,9
42,7,How long does it last?,1591750000000,jbilas,first.last@gmail.com,1,0
43,7,Why is this product cheaper here than other sites?,1599320000000,l33tgamer,first.last@gmail.com,0,5
44,8,What fabric is the top made of?,1598460000000,mrmrs,first.last@gmail.com,0,6
45,8,Where is this product made?,1603070000000,iluvcatz,first.last@aol.com,0,5
46,8,Can I wash it?,1598690000000,cleopatra,first.last@aol.com,0,4
47,8,Why is this product cheaper here than other sites?,1616640000000,h@ckerwhiz,first.last@cbs.com,0,2
48,8,How long does it last?,1605590000000,l33tgamer,first.last@gmail.com,0,7
49,8,Does this product run big or small?,1604370000000,jbilas,first.last@gmail.com,0,4
50,9,What fabric is the bottom made of?,1591280000000,l33tgamer,first.last@gmail.com,0,1
51,9,Where is this product made?,1591280000000,funnygirl,first.last@gmail.com,1,40
52,10,HI GUYS?,1600090000000,iluvcatz,first.last@gmail.com,1,0
53,10,Where is this product made?,1598950000000,funnygirl,first.last@gmail.com,0,15
54,10,What fabric is the top made of?,1594670000000,l33tgamer,first.last@gmail.com,0,6
55,12,Quod porro velit numquam voluptates voluptatem necessitatibus officia.,1617440000000,Camryn_Jacobi,Catherine_Stroman@yahoo.com,0,4
56,12,Error ut nemo ex alias nihil magni in.,1614820000000,Helen63,Marcos50@hotmail.com,1,21
57,12,Aut velit officia voluptas.,1589370000000,Eliane.Glover,Bethany49@hotmail.com,0,10
58,12,Accusamus qui ut iure voluptates.,1607850000000,Cathy_Hills6,Constance17@hotmail.com,0,1
59,12,Fuga officiis consequatur minima.,1601590000000,Maegan.Boyle74,Ariane_Hamill@yahoo.com,0,24
60,12,Consequatur ut esse blanditiis voluptas.,1605940000000,Tamara.Reynolds31,Rosario37@hotmail.com,0,10
61,13,Deserunt ducimus dicta sit.,1618020000000,Rosalee.Goldner,Elaina_Kulas31@yahoo.com,1,14
62,13,Id optio modi est omnis voluptatum explicabo magnam aliquid.,1597120000000,Adrianna_Labadie62,Clair5@gmail.com,0,29
63,13,Veritatis error praesentium asperiores.,1610410000000,Makenzie.Kautzer,Dakota32@hotmail.com,1,19
64,14,Fuga exercitationem quas eius vero iure laboriosam cupiditate aut voluptatem.,1615080000000,Gussie.Boyle,Adriel7@yahoo.com,0,15
65,15,Aut ab ea quis sed.,1599110000000,Gabrielle_Purdy47,Audra_Rempel65@hotmail.com,0,10
66,15,Molestiae qui nobis.,1615240000000,Sean_Waters5,Bert.Mills87@yahoo.com,0,19
67,15,Qui ut aperiam quas aperiam ut sit est eligendi ut.,1611470000000,Ruth.Wisoky,Nathaniel1@yahoo.com,0,0
68,15,Non labore enim.,1609420000000,Leif.OConner,Rod.Frami@yahoo.com,0,16
69,16,Aut mollitia id autem quos sapiente sint et similique.,1591290000000,Marguerite_Ward,Elyssa62@hotmail.com,0,14
70,16,Quibusdam possimus neque velit possimus nam.,1617450000000,Carol94,Maci_Powlowski@gmail.com,0,11
71,17,Quo dolores enim.,1599910000000,Nat89,Sammy77@gmail.com,0,5
72,17,Facere sint et possimus dolore mollitia sequi minus.,1606910000000,Rylan_Quitzon15,Lyric_Swaniawski80@yahoo.com,0,8
73,17,In aspernatur est accusamus voluptatem tenetur laborum blanditiis.,1614240000000,Cornell.Renner62,Ola23@gmail.com,0,4
74,17,Sed ea adipisci dolorem qui quas iure atque reiciendis alias.,1616940000000,Jeanne92,Karl_Beer@yahoo.com,0,11
75,18,Est perspiciatis minima sunt quaerat est consectetur.,1596420000000,Winfield.Ortiz,Jacey.Yundt@hotmail.com,0,2
76,20,Nobis dolore quia consequatur et cupiditate culpa eos quis.,1589250000000,Kadin.Marks,Alec70@hotmail.com,0,8
77,20,Ducimus aut harum recusandae quibusdam aut facere.,1593380000000,Jaime.Walker,Eden_Langosh@gmail.com,0,1
78,20,In aliquam aut dolorem voluptatem dolorem qui.,1606320000000,Carissa75,Mohamed_Schuster@yahoo.com,0,25
79,20,Error quam consectetur quidem provident.,1604160000000,Kali_Lebsack,Karlie4@hotmail.com,0,28
80,21,Placeat eius culpa.,1603990000000,Gail_Brown13,Jamey_Emard13@yahoo.com,0,3
81,21,Sit deleniti dolorem suscipit voluptatem.,1614860000000,Albert96,Elian35@hotmail.com,0,14
82,22,Beatae consectetur ut omnis omnis odio vero aliquid dolor temporibus.,1590340000000,Madonna_Schumm4,Monique15@gmail.com,0,24
83,23,Necessitatibus qui nemo voluptatem.,1597970000000,Hans92,Paolo_Shields@hotmail.com,0,5
84,23,Omnis unde repellat sunt assumenda voluptas facilis quasi velit.,1592430000000,Bell_Waelchi29,Damian_Gerhold@hotmail.com,0,5
85,23,Molestiae officiis voluptatem eius minus dolor quas.,1606610000000,Christopher_Kunze,Adolfo.Gerhold81@yahoo.com,0,21
86,25,Rerum nostrum adipisci numquam minus odit.,1609140000000,Autumn.Daniel,Mckenzie97@yahoo.com,0,18
87,25,Eos molestias saepe est.,1588370000000,Stefan_Ebert,Lonzo_Stiedemann@yahoo.com,0,14
88,25,Quia in voluptatibus a perferendis cupiditate earum.,1603790000000,Minerva_Torp36,Janie81@gmail.com,0,10
89,25,Facere molestias repudiandae et voluptatem.,1612530000000,Jadon22,Layne87@yahoo.com,0,0
90,25,Fugiat laborum fugit sed cupiditate laudantium.,1603310000000,Ron52,Tomasa_Lehner6@gmail.com,0,29
91,26,Voluptatem aperiam sed quis accusamus voluptatem dicta voluptas perspiciatis.,1598910000000,Josiane95,Al68@hotmail.com,0,2
92,26,Aspernatur rem magni cupiditate non maiores consectetur.,1613460000000,Reanna38,Mac27@hotmail.com,0,6
93,26,Maiores quisquam vel.,1608970000000,Brooke.Predovic85,Alba37@hotmail.com,0,18
94,26,Veritatis tempora perspiciatis consequatur veniam nobis.,1611780000000,Nolan_Skiles5,Tatyana_Leffler1@yahoo.com,0,3
95,27,Incidunt suscipit temporibus quo rem eum id.,1614690000000,Angeline.Corwin31,Elta.Koelpin12@hotmail.com,0,3
96,28,Vel nesciunt expedita.,1601330000000,Braxton_Conn13,Dwight_Sauer63@hotmail.com,0,11
97,29,Quia ut laborum provident officia blanditiis enim nemo nihil.,1609340000000,Jaylin66,Asia_Wolff@hotmail.com,1,11
98,29,Voluptas cupiditate qui consequatur eaque vel velit et modi.,1608270000000,Angeline_Mayer,Greyson_Rempel@hotmail.com,0,3
99,30,Non cumque maiores qui qui.,1611040000000,Stevie_Baumbach,Sigrid_Rodriguez@hotmail.com,0,24
100,30,Blanditiis dolore quis hic eaque provident repellat quis.,1603880000000,Autumn58,Mathilde15@gmail.com,0,0
