id,question_id,body,date_written,answerer_name,answerer_email,reported,helpful
79,54,"Supposedly suede, but I think its synthetic",1600120432219,n00bgamer,first.last@gmail.com,0,4
80,40,We are selling it here without any markup from the middleman!,1601001012339,Seller,null,0,2
81,41,Suede,1612814828522,warmkid,first.last@gmail.com,0,0
82,41,Something pretty soft but I can't be sure,1606022843272,warmkid,first.last@gmail.com,0,1
83,46,I wouldn't machine wash it,1610654961644,ceasar,first.last@aol.com,0,2
84,2,Rubber,1615868276652,dschulman,first.last@gmail.com,0,3
85,29,Its the best! Seriously magic fabric,1591196397170,superman,first.last@gmail.com,0,4
86,29,"Supposedly suede, but I think its synthetic",1599958385988,superman,first.last@gmail.com,0,5
87,32,Its a rubber sole,1600154313313,iluvdogz,first.last@gmail.com,0,6
88,32,"Some kind of recycled rubber, works great!",1602400753385,iluvdogz,first.last@gmail.com,0,7
89,4,Showing no wear after a few months!,1599089609530,sillyguy,first.last@gmail.com,0,8
90,44,Suede,1614451524662,mrmrs,first.last@gmail.com,0,9
91,45,Manufactured in Mexico City,1608681984296,Seller,first.last@aol.com,0,4
92,5,"Haha, are you serious?",1600330331162,ceasar,first.last@gmail.com,1,0
93,41,Its the best! Seriously magic fabric,1613971174898,warmkid,first.last@gmail.com,0,1
94,41,"Supposedly suede, but I think its synthetic",1614694635222,warmkid,first.last@gmail.com,0,2
95,1,"Supposedly suede, but I think its synthetic",1600120432219,metslover,first.last@gmail.com,0,3
96,5,I wouldn't machine wash it,1590584621205,ceasar,first.last@gmail.com,0,0
97,53,China,1607104035308,sillyguy,first.last@gmail.com,0,11
98,54,Suede,1595613922158,n00bgamer,first.last@gmail.com,0,2
99,54,Something pretty soft but I can't be sure,1607839829088,n00bgamer,first.last@gmail.com,0,3
100,54,Its the best! Seriously magic fabric,1606022843272,n00bgamer,first.last@gmail.com,0,4
